,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,79.0,71,24,19.19,PF,1644198597
1,san patricio,13.3034,-4.8956,71.64,12,0,8.39,ML,1644198882
2,nemuro,43.3236,145.575,28.83,71,25,11.81,JP,1644198882
3,mahibadhoo,3.7833,72.9667,80.98,65,65,10.54,MV,1644198882
4,fortuna,40.5982,-124.1573,54.19,91,0,0.0,US,1644198883
5,sweetwater,25.7634,-80.3731,74.01,90,94,6.64,US,1644198883
6,albany,42.6001,-73.9662,20.3,76,10,2.93,US,1644198884
7,yanam,16.7333,82.2167,70.2,83,97,2.75,IN,1644198884
8,severo-kurilsk,50.6789,156.125,32.16,80,100,9.82,RU,1644198884
9,boa vista,4.4296,8.9742,76.03,90,6,1.21,CM,1644198885
10,zhuhai,22.2769,113.5678,65.71,94,40,13.8,CN,1644198609
11,eureka,40.8021,-124.1637,48.13,87,0,3.78,US,1644198701
12,mecca,21.4267,39.8261,63.7,48,0,2.73,SA,1644198654
13,hervey bay,33.4982,-93.7771,43.34,61,0,2.89,US,1644198886
14,longyearbyen,78.2186,15.6401,19.24,68,0,5.75,SJ,1644198857
15,bredasdorp,-34.5322,20.0403,62.28,88,12,3.44,ZA,1644198886
16,busselton,-33.65,115.3333,66.04,56,65,20.0,AU,1644198724
17,ust-nera,64.5667,143.2,-15.52,79,5,2.73,RU,1644198886
18,barrow,71.2906,-156.7887,-25.58,62,0,12.66,US,1644198663
19,hidalgo,20.5,-99.0,55.58,64,65,4.25,MX,1644198887
20,camana,-16.6228,-72.7111,71.55,80,98,4.61,PE,1644198887
21,victoria,22.2855,114.1577,65.97,90,100,1.01,HK,1644198736
22,tarauaca,-8.1614,-70.7656,72.79,98,99,1.63,BR,1644198687
23,carnarvon,-24.8667,113.6333,77.07,41,7,20.71,AU,1644198888
24,alugan,12.2188,125.4808,82.31,72,47,15.12,PH,1644198888
25,ballina,-28.8667,153.5667,77.04,76,40,12.66,AU,1644198888
26,avarua,-21.2078,-159.775,82.45,78,40,17.27,CK,1644198606
27,arona,28.0996,-16.681,59.31,70,0,28.77,ES,1644198889
28,opuwo,-18.0607,13.84,67.19,48,98,2.26,NA,1644198727
29,clyde river,41.3042,-82.9752,29.79,72,84,10.25,US,1644198890
30,erzin,36.9559,36.2,38.12,74,0,3.71,TR,1644198890
31,port-gentil,-0.7193,8.7815,79.72,84,25,10.76,GA,1644198702
32,elat,29.5581,34.9482,53.44,47,0,5.75,IL,1644198883
33,saldanha,-33.0117,17.9442,60.85,99,32,7.25,ZA,1644198890
34,fare,-16.7,-151.0167,80.87,74,77,19.17,PF,1644198891
35,boulsa,12.6675,-0.5758,68.88,15,0,9.62,BF,1644198891
36,hithadhoo,-0.6,73.0833,82.31,70,43,14.9,MV,1644198891
37,akyab,20.15,92.9,62.11,55,96,6.64,MM,1644198892
38,new norfolk,6.6518,-10.5932,75.52,93,56,0.74,LR,1644198892
39,puerto ayora,36.5939,-6.233,54.25,78,0,5.75,ES,1644198893
40,port lincoln,-7.0349,29.7638,70.18,88,100,2.37,CD,1644198893
41,kiunga,-6.1219,141.2906,92.3,53,100,0.49,PG,1644198893
42,faanui,-16.4833,-151.75,81.23,74,100,18.9,PF,1644198894
43,constitucion,-35.3333,-72.4167,58.06,83,0,5.97,CL,1644198780
44,champerico,14.3,-91.9167,80.35,72,20,4.5,GT,1644198894
45,kapaa,22.0752,-159.319,79.2,70,14,4.0,US,1644198894
46,vila velha,42.0304,-8.1588,40.33,79,64,5.44,PT,1644198895
47,kaitangata,-46.2817,169.8464,58.93,77,78,8.25,NZ,1644198895
48,mount gambier,53.6597,-1.8537,38.05,83,2,1.99,GB,1644198895
49,castro,-24.7911,-50.0119,63.09,80,4,2.48,BR,1644198896
50,chuy,-33.6971,-53.4616,63.37,68,13,16.75,UY,1644198847
51,hermanus,-34.4187,19.2345,63.9,92,87,3.89,ZA,1644198896
52,mutata,7.2441,-76.4356,72.99,95,45,1.92,CO,1644198897
53,leningradskiy,69.3833,178.4167,-25.65,99,54,2.46,RU,1644198897
54,punta arenas,8.9897,125.34,83.03,66,99,6.22,PH,1644198898
55,hilo,19.7297,-155.09,75.25,88,80,1.99,US,1644198758
56,atuona,-9.8,-139.0333,78.84,74,8,16.75,PF,1644198898
57,eyl,7.9803,49.8164,73.13,78,100,13.42,SO,1644198898
58,qaanaaq,77.484,-69.3632,-11.67,58,32,7.99,GL,1644198736
59,komsomolskiy,40.4272,71.7189,38.12,87,100,4.61,UZ,1644198660
60,chepareria,1.3077,35.2039,61.66,57,85,5.14,KE,1644198899
61,cape town,-36.413,-71.9028,80.02,38,0,1.95,CL,1644198899
62,hofn,64.2539,-15.2082,30.2,67,100,12.12,IS,1644198900
